Variable Name,Solution Value
"prod_mine[2020,mine,brine]",0
"prod_mine[2020,mine,spod]",13.84788456
"prod_mine[2020,mine,clay]",68.65211544
"prod_mine[2021,mine,brine]",0
"prod_mine[2021,mine,spod]",30.65767543
"prod_mine[2021,mine,clay]",76.34232457
"prod_mine[2022,mine,brine]",0
"prod_mine[2022,mine,spod]",48.12441346
"prod_mine[2022,mine,clay]",97.87558654
"prod_mine[2023,mine,brine]",0
"prod_mine[2023,mine,spod]",60.45202552
"prod_mine[2023,mine,clay]",119.5479745
"prod_mine[2024,mine,brine]",0
"prod_mine[2024,mine,spod]",74.11997372
"prod_mine[2024,mine,clay]",123.8800263
"prod_mine[2025,mine,brine]",0
"prod_mine[2025,mine,spod]",85.00374505
"prod_mine[2025,mine,clay]",132.796255
"prod_mine[2026,mine,brine]",0
"prod_mine[2026,mine,spod]",93.95678604
"prod_mine[2026,mine,clay]",145.623214
"prod_mine[2027,mine,brine]",0
"prod_mine[2027,mine,spod]",103.7308508
"prod_mine[2027,mine,clay]",159.8071492
"prod_mine[2028,mine,brine]",0
"prod_mine[2028,mine,spod]",114.3788303
"prod_mine[2028,mine,clay]",175.5129697
"prod_mine[2029,mine,brine]",0
"prod_mine[2029,mine,spod]",125.9531473
"prod_mine[2029,mine,clay]",192.9278327
"prod_mine[2030,mine,brine]",0
"prod_mine[2030,mine,spod]",134.4895791
"prod_mine[2030,mine,clay]",125.0693183
"prod_mine[2031,mine,brine]",0
"prod_mine[2031,mine,spod]",146.2267495
"prod_mine[2031,mine,clay]",133.8712449
"prod_mine[2032,mine,brine]",0
"prod_mine[2032,mine,spod]",158.7424563
"prod_mine[2032,mine,clay]",143.2167968
"prod_mine[2033,mine,brine]",0
"prod_mine[2033,mine,spod]",172.0503156
"prod_mine[2033,mine,clay]",153.1158969
"prod_mine[2034,mine,brine]",0
"prod_mine[2034,mine,spod]",186.1584382
"prod_mine[2034,mine,clay]",163.5748887
"prod_mine[2035,mine,brine]",0
"prod_mine[2035,mine,spod]",201.0687894
"prod_mine[2035,mine,clay]",174.5961176
"prod_mine[2036,mine,brine]",0
"prod_mine[2036,mine,spod]",216.7766214
"prod_mine[2036,mine,clay]",186.1775596
"prod_mine[2037,mine,brine]",0
"prod_mine[2037,mine,spod]",233.270006
"prod_mine[2037,mine,clay]",198.3125156
"prod_mine[2038,mine,brine]",0
"prod_mine[2038,mine,spod]",250.5294957
"prod_mine[2038,mine,clay]",210.9893904
"prod_mine[2039,mine,brine]",0
"prod_mine[2039,mine,spod]",268.5279392
"prod_mine[2039,mine,clay]",224.1915728
"prod_mine[2040,mine,brine]",0
"prod_mine[2040,mine,spod]",281.8769251
"prod_mine[2040,mine,clay]",234.3875757
